159.77,159.48,159.51,159.87,160.54,161.52,162.8,164.35,166.15,168.17,170.39,172.76,175.26,177.84,180.47,183.11,185.71,188.23,190.65,192.92,195,196.87,198.5,199.86,200.93,201.7,202.15,202.28,202.09,201.57,200.74,199.61,198.2,196.52,194.6,192.48,190.18,187.74,185.19,182.58,179.95,177.33,174.76,172.28,169.93,167.75,165.77,164.02,268.04,268.99,270.07,271.26,272.12,271.73,271.66,271.91,272.48,273.36,274.53,275.98,277.68,279.62,281.75,284.06,286.49,289.02,291.61,294.22,296.81,299.33,301.76,304.05,306.17,308.09,309.78,311.21,312.36,313.22,313.77,314,313.91,313.49,312.77,311.74,310.43,308.85,307.03,304.99,302.76,300.39,297.9,295.34,292.73,290.13,287.57,285.09,282.72,280.51,278.49,276.68,275.12,273.83,272.82,272.12,272.51,271.23,269.89,268.49,267.07,265.63,264.21,262.82,261.49,260.24,259.08,258.04,257.12,256.35,255.73,255.28,254.99,254.88,254.95,255.19,255.61,256.19,256.93,257.81,258.83,259.96,261.19,262.5,263.88,265.29,266.73,296.3,294.69,292.83,290.75,288.48,286.05,283.51,280.9,278.24,275.58,272.97,270.43,268.02,265.76,263.7,261.85,260.26,258.94,257.91,257.19,256.8,257.38,256.05,254.73,253.44,252.19,251.01,249.91,248.91,248.04,247.29,246.68,246.22,281.36,283.23,285,286.63,288.1,289.39,290.48,291.34,291.98,292.37,292.52,292.41,292.06,291.47,290.64,289.59,288.33,286.89,285.29,283.54,281.68,279.74,277.74,275.71,273.69,271.7,269.78,267.96,266.26,264.7,263.32,262.13,261.16,260.4,259.89,259.62,259.6,259.83,260.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401.94,403.24,404.59,405.97,407.35,408.71,410.04,411.31,412.51,413.61,414.61,415.47,416.21,416.79,417.21,417.47,417.55,417.47,417.22,416.81,416.24,415.51,414.65,413.66,412.56,411.37,410.1,408.77,407.41,406.03,404.66,403.31,402,400.77,399.61,398.56,397.63,396.83,396.17,395.67,395.33,395.15,395.15,395.32,395.65,396.14,396.79,397.59,706.9,708.19,709.2,709.9,709.51,710.78,712.13,713.53,714.95,716.39,717.81,719.19,720.52,721.78,722.93,723.98,724.89,725.67,726.29,726.74,727.03,727.13,727.07,726.82,726.41,725.83,725.09,724.21,723.19,722.06,720.83,719.52,718.14,716.73,715.29,713.86,712.46,711.1,709.8,708.6,707.49,706.51,705.66,704.97,704.43,704.06,703.86,703.84,704,704.33,704.83,705.49,706.3,707.25,708.32,709.51,710.37,709.98,709.91,710.16,710.73,711.61,712.78,714.23,715.94,717.87,720.01,722.31,724.74,727.28,729.87,732.47,735.06,737.59,740.01,742.31,744.43,746.35,748.03,749.47,750.62,751.47,752.02,752.25,752.16,751.75,751.02,389.69,388.64,387.7,386.89,386.21,385.67,385.29,385.07,385.01,385.12,385.38,385.81,386.39,387.11,387.96,388.93,390.01,391.17,392.41,393.69,395.01,395.75,395.68,395.94,396.52,397.42,398.61,400.1,401.84,403.81,405.99,408.34,410.83,243.9,242.03,240.04,237.96,235.81,233.63,231.46,229.33,227.26,225.29,223.46,221.78,220.28,218.99,217.93,217.11,216.54,216.24,216.2,216.43,216.93,217.68,218.68,219.9,221.34,222.97,224.77,226.7,228.74,230.86,233.03,235.21,237.37,239.47,241.49,243.4,245.16,246.75,248.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.333,55.8,60.054,65.583,71.719,77.722,82.869,86.539,88.288,87.907,275.95,272.05,268.42,265.51,263.66,263.1,263.89,265.94,269.01,269.01,271.19,275.34,280.93,287.31,293.7,299.34,303.53,305.78,305.81,303.62,299.48,293.88,287.5,281.11,275.48,376.66,375.94,373.72,373.72,372.34,368.66,363.11,356.38,349.26,342.62,337.26,333.83,332.73,334.11,337.8,343.34,350.08,357.2,363.84,369.2,372.63,373.72,373.72,375.22,49.977,55.459,62.223,69.454,76.279,81.876,85.568,86.911,85.743,82.205,76.723,69.958,62.727,55.902,50.306,46.614,45.27,45.27,43.573,44.269,47.275,52.227,58.529,65.42,72.069,77.675,81.56,83.258,82.561,79.556,261.38,267.38,272.53,276.2,277.95,277.57,277.57,277.82,275.5,270.89,264.53,257.19,249.77,243.16,152.18,147.85,144.56,142.7,142.5,143.99,146.97,151.11,155.88,160.73,165.05,165.05,168.66,172.76,176.88,180.5,183.19,273.02,268.81,264.32,260.08,256.61,254.32,253.49,254.22,256.43,259.84,264.04,268.54,272.77,272.77,276.24,280.48,285,289.24,292.69,294.95,53.183,57.963,62.279,65.609,67.552,67.874,66.536,63.698,59.705,55.036,50.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,562.83,563.8,562.8,559.94,555.58,550.23,544.54,539.2,534.85,357.52,359.48,363.78,369.89,377.08,384.48,391.2,396.43,399.54,399.54,402.59,403.97,403.49,401.23,397.45,392.62,387.3,382.16,377.79,374.74,373.37,373.84,376.1,379.88,384.72,92.589,87.017,83.256,83.256,79.764,77.426,76.524,77.166,79.276,82.598,86.733,91.181,95.406,98.898,101.24,102.14,101.5,99.386,96.064,91.929,87.481,83.256,83.256,79.812,78.48,79.712,79.473,77.792,74.872,71.064,66.829,62.677,59.109,56.555,55.323,55.562,57.243,60.164,63.971,68.206,72.358,72.358,75.707,80.015,84.762,89.377,93.301,96.062,97.327,96.943,94.957,91.608,87.3,82.553,106.68,102.32,96.966,91.279,85.939,81.592,81.592,77.847,74.151,70.95,68.632,67.474,67.618,69.045,691.6,691.04,692.85,696.8,702.42,709.02,715.82,721.98,726.78,729.63,730.18,730.18,731.23,729.75,725.92,720.2,713.28,217.89,212.59,209.21,208.18,209.6,213.32,218.88,225.6,232.69,239.29,244.59,247.97,249,249,250.45,249.44,246.1,240.82,234.25,227.18,273.75,276.71,277.35,275.62,271.71,266.1,259.47,252.61,246.35,241.45,238.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112.16,112.79,114.05,115.91,118.34,121.31,124.78,128.69,132.98,137.58,142.44,147.46,152.59,157.73,162.82,167.77,172.51,176.96,181.07,184.76,187.99,190.7,192.85,194.41,195.36,195.67,195.36,194.41,192.85,190.7,187.99,184.77,181.07,176.97,172.51,167.77,162.82,157.74,152.6,147.47,142.44,137.59,132.98,128.69,124.79,121.32,118.35,115.91,114.05,112.8,112.16,112.16,113.72,111.13,108.74,106.6,104.72,103.15,101.9,101,126.12,130.22,134.69,139.48,144.5,149.69,154.97,160.25,165.45,170.5,175.32,179.83,183.98,187.68,190.9,193.58,195.67,197.16,198.01,198.21,197.76,196.67,194.95,192.62,189.74,186.33,182.45,178.15,173.51,168.6,163.48,158.24,152.95,147.7,142.56,137.62,132.94,128.61,124.67,121.21,118.25,115.86,114.07,112.9,113.85,111.24,108.54,105.81,103.08,100.4,97.797,95.321,93.006,90.888,323.06,326,328.74,331.23,333.45,335.35,336.91,338.1,338.91,339.32,339.32,338.93,338.13,336.95,335.41,333.52,331.31,328.82,326.09,323.16,320.06,316.86,313.59,310.31,307.07,303.91,300.89,298.04,295.42,293.06,290.99,289.26,287.88,286.88,286.27,286.06,286.26,286.86,287.84,289.21,290.93,292.98,294.83,293.57,292.91,292.87,293.43,294.6,296.35,298.66,301.49,304.8,308.54,312.65,317.08,321.75,326.59,331.53,336.49,341.41,346.2,350.79,326.6,330.03,333.38,336.61,339.66,342.48,345.05,347.31,349.24,350.8,351.97,352.73,353.07,352.99,352.49,351.57,350.25,348.54,346.49,344.1,341.43,338.51,335.39,332.11,328.73,325.29,321.84,318.45,315.15,312.01,309.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302.39,304.98,307.36,309.51,311.38,312.96,314.2,315.11,315.66,315.84,315.65,315.1,314.19,312.93,311.36,309.48,307.33,304.94,302.34,299.59,296.71,293.75,290.76,287.78,284.86,282.04,279.36,276.87,274.6,272.58,270.86,269.44,268.37,267.64,267.27,267.28,267.65,268.38,269.46,270.88,272.61,274.63,276.91,279.4,282.08,284.91,287.83,290.81,293.8,296.76,299.63,302.39,303.47,304.1,305.36,307.21,309.65,312.62,316.09,319.99,114.02,116.13,118.02,119.65,121,122.05,122.78,123.18,123.24,122.97,122.36,121.43,120.19,118.66,116.87,114.83,112.59,110.17,107.61,104.95,102.23,99.497,96.784,94.137,91.593,89.193,86.973,84.965,83.202,81.708,80.508,79.619,79.054,78.823,78.929,79.369,80.139,81.224,82.611,84.276,86.196,88.341,90.678,93.172,94.81,94.284,94.408,95.181,96.59,98.615,101.23,104.38,108.03,112.13,297.51,293.39,288.97,284.3,279.46,274.52,269.55,264.64,259.85,255.26,250.93,246.94,243.35,240.2,237.54,235.42,233.87,232.92,232.56,232.82,233.69,235.15,237.18,239.76,242.84,246.37,250.3,254.58,259.14,263.9,268.8,273.76,278.71,283.57,288.27,292.74,296.9,300.71,304.09,306.99,309.38,311.22,310.78,313.13,315.75,318.59,321.61,324.76,328,331.28,334.55,337.76,340.86,343.8,346.54,349.03,351.25,353.15,354.71,355.9,356.71,357.12,156.29,158.37,159.9,160.86,161.22,160.99,160.16,158.75,156.78,154.28,151.29,147.85,144.02,139.85,135.41,130.76,125.97,121.13,116.29,111.54,106.94,102.57,98.49,94.764,91.448,88.593,86.241,84.429,83.183,82.524,82.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.333,50.792,50.295,51.902,55.419,60.422,66.308,72.366,77.866,183.85,186.69,187.68,186.7,183.87,179.53,174.21,168.54,163.2,158.85,158.85,155.11,151.4,148.18,145.84,144.65,144.76,146.16,148.67,152,155.75,336.04,338.18,342.25,347.78,354.08,360.41,366,370.17,370.17,373.89,377.02,379.18,380.12,379.73,378.04,375.26,371.73,367.88,364.16,361.03,358.86,357.92,358.32,248.1,250.87,254.4,258.26,258.26,261.26,265.62,270.82,276.23,281.19,285.1,287.51,288.1,286.82,283.82,279.46,274.26,268.85,263.89,259.98,257.57,256.98,258.26,258.26,383.37,382.37,379.04,373.77,367.21,360.14,353.42,347.85,344.12,342.66,343.66,347,352.26,358.83,365.89,372.62,378.18,48.203,48.203,51.621,55.896,60.512,64.914,68.57,71.04,72.024,71.405,69.258,65.84,61.565,56.948,52.546,48.89,46.421,45.437,46.055,48.203,48.203,49.52,53.163,58.692,66.789,71.663,75.482,77.786,78.296,76.952,73.914,69.55,64.386,59.045,54.171,50.352,48.048,47.537,48.882,48.882,49.469,52.558,57.775,141.92,140.83,141.04,142.52,145.1,148.47,152.22,155.9,159.06,161.32,162.41,162.2,160.72,158.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,402.76,407.1,412.48,418.27,423.75,428.28,431.3,432.44,116.77,114.32,110.07,104.54,98.389,92.366,87.195,83.501,81.728,82.091,82.091,81.817,84.121,88.725,95.074,102.4,109.82,116.45,121.47,124.29,124.56,379.08,384.28,389.68,394.64,398.56,400.96,401.56,400.28,400.28,399.75,396.71,391.53,384.82,377.41,370.18,364.01,359.63,357.59,358.12,361.16,366.34,373.05,380.46,67.66,73.833,78.206,80.25,80.25,82.504,82.568,80.434,76.36,70.837,64.531,58.203,52.616,48.444,46.19,46.126,48.26,52.335,57.858,64.164,70.492,76.079,80.25,80.25,83.592,79.344,74.821,70.569,67.1,64.833,64.041,64.821,67.077,70.537,74.785,79.308,83.561,87.029,89.296,90.088,89.309,90.142,90.142,91.697,90.82,87.618,82.476,76.015,69.014,62.318,56.733,52.934,51.379,52.256,55.458,60.6,67.061,74.062,80.758,86.343,90.142,90.142,93.658,96.061,97.061,245.76,240.16,233.79,227.43,221.83,217.68,215.47,215.48,217.69,221.85,227.45,233.81,240.18,245.77,249.93,249.93,253.63,256.72,258.8,727.51,734.85,742.27,748.88,753.87,756.64,756.86,754.51,749.86,743.49,736.14,728.72,722.12,717.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372.94,373.89,374.6,375.05,375.23,375.15,374.8,374.19,373.33,372.24,370.92,369.4,367.7,365.85,363.87,361.8,359.67,357.5,355.34,353.21,288.16,287.57,286.84,285.95,284.94,283.81,282.57,281.26,279.89,278.47,277.04,275.61,274.2,272.84,271.55,270.34,269.24,268.26,267.41,266.71,266.18,265.81,265.61,265.59,265.74,266.07,266.57,267.23,268.04,268.99,270.07,271.26,272.12,271.73,271.66,271.91,272.48,273.36,274.53,275.98,277.68,279.62,281.75,284.06,286.49,289.02,291.61,294.22,296.81,299.33,301.76,304.05,306.17,308.09,309.78,311.21,312.36,313.22,313.77,314,313.91,313.49,312.77,311.74,310.43,308.85,307.03,304.99,302.76,300.39,297.9,295.34,292.73,290.13,287.57,285.09,282.72,280.51,278.49,276.68,275.12,273.83,272.82,272.12,272.51,271.23,269.89,268.49,267.07,265.63,264.21,262.82,261.49,260.24,259.08,258.04,257.12,256.35,255.73,255.28,254.99,254.88,254.95,255.19,255.61,256.19,256.93,257.81,258.83,259.96,261.19,262.5,263.88,265.29,266.73,268.16,269.56,270.92,272.22,273.42,274.53,275.51,276.35,277.05,277.59,277.96,371.06,369.81,368.76,367.95,367.37,367.04,366.97,367.15,367.58,368.25,369.19,368.22,367.49,367.01,366.79,366.84,367.15,367.71,368.53,369.58,172.3,172.36,172.24,171.96,171.52,170.91,170.16,169.27,168.26,167.14,165.93,164.64,163.3,161.93,160.54,159.16,157.81,156.52,155.29,154.15,153.11,152.2,151.42,150.79,150.31,150,149.86,149.88,150.08,150.44,150.97,151.65,152.47,153.42,154.49,155.66,156.92,158.23,159.59,160.97,162.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240.31,239.38,238.23,236.89,235.36,233.68,231.87,229.96,227.98,225.95,223.91,221.89,219.92,218.03,216.24,214.6,213.11,211.8,210.69,209.81,195.85,193.93,192.24,190.81,189.65,188.8,188.25,188.02,188.11,188.52,189.25,190.28,191.59,193.17,194.99,197.03,199.25,201.63,204.12,206.68,209.29,211.89,214.45,216.93,219.29,221.51,223.53,225.34,226.9,228.19,229.2,229.9,229.51,230.78,232.13,233.53,234.95,236.39,237.81,239.19,240.52,241.78,242.93,243.98,244.89,245.67,246.29,246.74,247.03,247.13,247.07,246.82,246.41,245.83,245.09,244.21,243.19,242.06,240.83,239.52,238.14,236.73,235.29,233.86,232.46,231.1,229.8,228.6,227.49,226.51,225.66,224.97,224.43,224.06,223.86,223.84,224,224.33,224.83,225.49,226.3,227.25,228.32,229.51,230.37,229.98,229.91,230.16,230.73,231.61,232.78,234.23,235.94,237.87,240.01,242.31,244.74,247.28,249.87,252.47,255.06,257.59,260.01,262.31,264.43,266.35,268.03,269.47,270.62,271.47,272.02,272.25,272.16,271.75,271.02,270,268.68,267.1,265.28,263.24,261.02,258.64,256.16,253.59,250.99,248.39,703.62,705.76,707.89,709.97,711.98,713.87,715.63,717.23,718.64,719.83,719.92,720.83,721.97,723.3,724.82,726.5,728.32,730.25,732.25,734.3,396.12,393.59,390.99,388.36,385.73,383.16,380.67,378.3,376.09,374.08,372.29,370.75,369.49,368.52,367.85,367.51,367.49,367.79,368.42,369.35,370.58,372.08,373.84,375.83,378.01,380.36,382.84,385.41,388.03,390.66,393.27,395.81,398.24,400.53,402.65,404.55,406.22,407.62,408.74,409.56,410.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
