52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
19,38,57,76,95,114,133,152
52,104,156,208,0,0,0,0
